abieamab.zip, Abies amabilis, Pacific silver fir
cercflor.zip, Cercidium floridum, blue paloverde
cercledi.zip, Cercocarpus ledifolius, curlleaf cercocarpus
cercmacr.zip, Cercidium macrum, border paloverde
cercmicr.zip, Cercidium microphyllum, yellow paloverde
cercocci.zip, Cercis occidentalis, California redbud
cerctras.zip, Cercocarpus traskiae, Catalina cercocarpus
ceregiga.zip, Cereus giganteus, saguaro
cererobi.zip, Cereus robinii, key tree cactus
chamlaws.zip, Chamaecyparis lawsoniana, Port Orford cedar
chamnoot.zip, Chamaecyparis nootkatensis, Alaska cedar
chamthyo.zip, Chamaecyparis thyoides, Atlantic white cedar
chilline.zip, Chilopsis linearis, desert willow
chiovirg.zip, Chionanthus virginicus, fringetree
chryicac.zip, Chrysobalanus icaco, cocoplum
chryoliv.zip, Chrysophyllum oliviforme , satinleaf
cithberl.zip, Citharexylum berlandieri, Berlandier fiddlewood
cithfrut.zip, Citharexylum fruticosum, Florida fiddlewood
cladkent.zip, Cladrastis kentukea, yellowwood
cletacum.zip, Clethra acuminata, cinnamon clethra
clifmono.zip, Cliftonia monophylla, buckwheat tree
clusrose.zip, Clusia rosea, Florida clusia
coccarge.zip, Coccothrinax argentata, Florida silverpalm
coccdive.zip, Coccoloba diversifolia, pigeon plum
coccuvif.zip, Coccoloba uvifera, seagrape
coluarbo.zip, Colubrina arborescens , coffee colubrina 
colucube.zip, Colubrina cubensis, Cuba colubrina
coluelli.zip, Colubrina elliptica, soldierwood
condglob.zip, Condalia globosa, bitter condalia
condhook.zip, Condalia hookeri, bluewood
conoerec.zip, Conocarpus erectus, button mangrove
cordbois.zip, Cordia boissieri, anacahuita
cordsebe.zip, Cordia sebestena, Geiger tree
cornalte.zip, Cornus alternifolia, alternate leaf dogwood
corndrum.zip, Cornus drummondii, roughleaf dogwood
cornflor.zip, Cornus florida, flowering dogwood
cornglab.zip, Cornus glabrata, brown dogwood
cornnutt.zip, Cornus nuttallii, Pacific dogwood
cornocci.zip, Cornus occidentalis, western dogwood
cornrace.zip, Cornus racemosa, gray dogwood
cornrugo.zip, Cornus rugosa, roundleaf dogwood
cornsess.zip, Cornus sessilis, blackfruit dogwood
cornstol.zip, Cornus stolonifera, red osier dogwood
cornstri.zip, Cornus stricta, stiffcornel dogwood
corycorn.zip, Corylus cornuta, beaked hazel
cotiobov.zip, Cotinus obovatus, American smoketree
cowamexi.zip, Cowania mexicana, cliffrose
cratchry.zip, Crataegus chrysocarpa, fireberry hawthorn
cratcolu.zip, Crataegus columbiana, Columbia hawthorn
cratdoug.zip, Crataegus douglasii, black hawthorn
crateryt.zip, Crataegus erythropoda, Cerro hawthorn
cratsali.zip, Crataegus saligna, willow hawthorn
cratsucc.zip, Crataegus succulenta, fleshy hawthorn
crattrac.zip, Crataegus tracyi, Tracy hawthorn
crosrhac.zip, Crossopetalum rhacoma, Florida crossopetalum
cupaglab.zip, Cupania glabra, Florida cupania
cuprariz.zip, Cupressus arizonica, Arizona cypress
cuprbake.zip, Cupressus bakeri, Modoc cypress
cuprgove.zip, Cupressus goveniana, Gowen cypress
cuprguad.zip, Cupressus guadalupensis, Tecate cypress
cuprmacn.zip, Cupressus macnabiana, MacNab cypress
cuprmacr.zip, Cupressus macrocarpa, Monterey cypress
cuprsarg.zip, Cupressus sargentii, Sargent cypress
cyrirace.zip, Cyrilla racemiflora, swamp cyrilla
dalespin.zip, Dalea spinosa, smokethorn
diostexa.zip, Diospyros texana, Texas persimmon
diosvirg.zip, Diospyros virginiana, common persimmon
diphsali.zip, Dipholis salicifolia, willow bustic
dodovisc.zip, Dodonaea viscosa, hopbush
drypdive.zip, Drypetes diversifolia, milkbark
dryplate.zip, Drypetes lateriflora, Guiana plum
ehreanac.zip, Ehretia anacua, anaqua
ellirace.zip, Elliottia racemosa, elliottia
erytflab.zip, Erythrina flabelliformis, southwestern coralbean
erytherb.zip, Erythrina herbacea, eastern coralbean
esenberl.zip, Esenbeckia berlandieri, Berlandier esenbeckia
eugeaxil.zip, Eugenia axillaris, white stopper
eugeconf.zip, Eugenia confusa, redberry stopper 
eugefoet.zip, Eugenia foetida, boxleaf stopper
eugerhom.zip, Eugenia rhombea, red stopper
euonatro.zip, Euonymus atropurpureus, eastern wahoo
euonocci.zip, Euonymus occidentalis, western wahoo
exoscari.zip, Exostema caribaeum, princewood
exotpani.zip, Exothea paniculata , inkwood
eysepoly.zip, Eysenhardtia polystachya, kidneywood
eysetexa.zip, Eysenhardtia texana, Texas kidneywood
fagugran.zip, Fagus grandifolia, American beech
ficuaure.zip, Ficus aurea, Florida strangler fig
ficucitr.zip, Ficus citrifolia, shortleaf fig
foreacum.zip, Forestiera acuminata, swamp privet
foreangu.zip, Forestiera angustifolia, Texas forestiera
forephil.zip, Forestiera phillyreoides, desert olive forestiera
foresegr.zip, Forestiera segregata, Florida privet
franalat.zip, Franklinia alatamaha, franklinia
fraxamer.zip, Fraxinus americana, white ash
fraxanom.zip, Fraxinus anomala, singleleaf ash
fraxberl.zip, Fraxinus berlandieriana, Berlandier ash
fraxcaro.zip, Fraxinus caroliniana, Carolina ash
fraxcusp.zip, Fraxinus cuspidata, fragrant ash
fraxdipe.zip, Fraxinus dipetala, two petal ash
fraxgood.zip, Fraxinus gooddingii, Goodding ash
fraxgreg.zip, Fraxinus greggii, Gregg ash
fraxlati.zip, Fraxinus latifolia, Oregon ash
fraxnigr.zip, Fraxinus nigra, black ash
fraxpapi.zip, Fraxinus papillosa, Chihuahua ash
fraxpenn.zip, Fraxinus pennsylvanica, green ash
fraxprof.zip, Fraxinus profunda, pumpkin ash
fraxquad.zip, Fraxinus quadrangulata, blue ash
fraxtexe.zip, Fraxinus texensis, Texas ash
fraxvelu.zip, Fraxinus velutina, velvet ash
fremcali.zip, Fremontodendron californicum, California fremontia
fremmexi.zip, Fremontodendron mexicanum, Mexican fremontia
garrelli.zip, Garrya elliptica, wavyleaf silktassel
geniclus.zip, Genipa clusiifolia, seven year apple
gledaqua.zip, Gleditsia aquatica, waterlocust
gledtria.zip, Gleditsia triacanthos, honeylocust
gordlasi.zip, Gordonia lasianthus, loblolly bay
guaiangu.zip, Guaiacum angustifolium, Texas lignumvitae
guaisanc.zip, Guaiacum sanctum, roughbark lignumvitae
guapdisc.zip, Guapira discolor, blolly
guetelli.zip, Guettarda elliptica, elliptic leaf velvetseed
guetscab.zip, Guettarda scabra, roughleaf velvetseed
gymilati.zip, Gyminda latifolia, falsebox
gymndioi.zip, Gymnocladus dioicus, Kentucky coffeetree
gymnluci.zip, Gymnanthes lucida, oysterwood
halecaro.zip, Halesia carolina, Carolina silverbell
haledipt.zip, Halesia diptera, two wing silverbell
haleparv.zip, Halesia parviflora, little silverbell
hamavirg.zip, Hamamelis virginiana, witch hazel
hamepate.zip, Hamelia patens, scarletbush
heliparv.zip, Helietta parvifolia, barreta
hippmanc.zip, Hippomane mancinella, manchineel
holaemor.zip, Holacantha emoryi, holacantha
hypetrif.zip, Hypelate trifoliata, hypelate
ilexambi.zip, Ilex ambigua, Carolina holly
ilexamel.zip, Ilex amelanchier, sarvis holly
ilexcass.zip, Ilex cassine, dahoon
ilexcori.zip, Ilex coriacea, large gallberry
ilexdeci.zip, Ilex decidua, possumhaw
ilexkrug.zip, Ilex krugiana, tawnyberry holly
ilexlaev.zip, Ilex laevigata, smooth winterberry
ilexlong.zip, Ilex longipes, Georgia holly
ilexmont.zip, Ilex montana, mountain winterberry
ilexmyrt.zip, Ilex myrtifolia, myrtle dahoon
ilexopac.zip, Ilex opaca, American holly
ilexvert.zip, Ilex verticillata, common winterberry
ilexvomi.zip, Ilex vomitoria, yaupon
illiflor.zip, Illicium floridanum, Florida anise tree
illiparv.zip, Illicium parviflorum, yellow anise tree
jacqkeye.zip, Jacquinia keyensis, joewood
juglcali.zip, Juglans californica, California walnut
juglcine.zip, Juglans cinerea, butternut
juglhind.zip, Juglans hindsii, Hinds walnut
juglmajo.zip, Juglans major, Arizona walnut
juglmicr.zip, Juglans microcarpa, little walnut
juglnigr.zip, Juglans nigra, black walnut
juniashe.zip, Juniperus ashei, Ashe juniper
junicali.zip, Juniperus californica, California juniper
junicomm.zip, Juniperus communis, common juniper
junidepp.zip, Juniperus deppeana, alligator juniper
junieryt.zip, Juniperus erythrocarpa, redberry juniper
juniflac.zip, Juniperus flaccida, drooping juniper
junihori.zip, Juniperus horizontalis, creeping juniper
junimono.zip, Juniperus monosperma, one seed juniper
juniocci.zip, Juniperus occidentalis, western juniper
junioste.zip, Juniperus osteosperma, Utah juniper
junipinc.zip, Juniperus pinchotii, Pinchot juniper
juniscop.zip, Juniperus scopulorum, Rocky Mountain juniper
junisili.zip, Juniperus silicicola, southern redcedar
junivirg.zip, Juniperus virginiana, eastern redcedar
kalmlati.zip, Kalmia latifolia, mountain laurel
koebspin.zip, Koeberlinia spinosa, allthorn
krugferr.zip, Krugiodendron ferreum, leadwood
lagurace.zip, Laguncularia racemosa, white mangrove
larilari.zip, Larix laricina, tamarack
larilyal.zip, Larix lyallii, subalpine larch
lariocci.zip, Larix occidentalis, western larch
larrdiva.zip, Larrea divaricata, creosote bush
leitflor.zip, Leitneria floridana, corkwood
leucpulv.zip, Leucaena pulverulenta, great leadtree
leucretu.zip, Leucaena retusa, littleleaf leadtree
libodecu.zip, Libocedrus decurrens, incense cedar
licatria.zip, Licaria triandra , Florida licaria
liqustyr.zip, Liquidambar styraciflua, sweetgum
lirituli.zip, Liriodendron tulipifera, yellow poplar
lithdens.zip, Lithocarpus densiflorus, tanoak
lyonferr.zip, Lyonia ferruginea, tree lyonia
lyonflor.zip, Lyonothamnus floribundus, Lyontree
lysilati.zip, Lysiloma latisiliquum, Bahama lysiloma
lysimicr.zip, Lysiloma microphylla, littleleaf lysiloma
maclpomi.zip, Maclura pomifera, Osage orange
magnacum.zip, Magnolia acuminata, cucumbertree
magnashe.zip, Magnolia ashei, Ashe magnolia
magnfras.zip, Magnolia fraseri, Fraser magnolia
magngran.zip, Magnolia grandiflora, southern magnolia
magnmacr.zip, Magnolia macrophylla, bigleaf magnolia
magnpyra.zip, Magnolia pyramidata, pyramid magnolia
magntrip.zip, Magnolia tripetala, umbrella magnolia
magnvirg.zip, Magnolia virginiana, sweetbay
maluangu.zip, Malus angustifolia, southern crab apple
malucoro.zip, Malus coronaria, sweet crab apple
maludive.zip, Malus diversifolia, Oregon crab apple
maluioen.zip, Malus ioensis, prairie crab apple
manibaha.zip, Manilkara bahamensis, wild dilly
mastfoet.zip, Mastichodendron foetidissimum, false mastic
maytphyl.zip, Maytenus phyllanthoides, Florida mayten
metotoxi.zip, Metopium toxiferum, Florida poisontree
morumicr.zip, Morus microphylla, Texas mulberry
morurubr.zip, Morus rubra, red mulberry
myrcfrag.zip, Myrcianthes fragrans, twinberry stopper
myricali.zip, Myrica californica, Pacific bayberry
myriceri.zip, Myrica cerifera, southern bayberry
myrihete.zip, Myrica heterophylla, evergreen bayberry
myriinod.zip, Myrica inodora, odorless bayberry
myripens.zip, Myrica pensylvanica, northern bayberry
nectcori.zip, Nectandra coriacea, Florida nectandra
nemocoll.zip, Nemopanthus collinus, mountain holly
nolibige.zip, Nolina bigelovii, Bigelow nolina
nyssaqua.zip, Nyssa aquatica, water tupelo
nyssogec.zip, Nyssa ogeche, Ogeechee tupelo
nysssylv.zip, Nyssa sylvatica, black tupelo, blackgum
olneteso.zip, Olneya tesota, tesota
opunfulg.zip, Opuntia fulgida, jumping cholla
osmaamer.zip, Osmanthus americanus, devilwood
ostrchis.zip, Ostrya chisosensis, Chisos hophornbean
ostrknow.zip, Ostrya knowltonii, Knowlton hophornbeam
ostrvirg.zip, Ostrya virginiana, eastern hophornbeam
oxydarbo.zip, Oxydendrum arboreum, sourwood
parkacul.zip, Parkinsonia aculeata, Jerusalem thorn
persborb.zip, Persea borbonia, redbay
photarbu.zip, Photinia arbutifolia, Christmas berry
picebrew.zip, Picea breweriana, Brewer spruce
picechih.zip, Picea chihuahuana, chihuahua spruce
piceenge.zip, Picea engelmannii, Engelmann spruce
piceglau.zip, Picea glauca, white spruce
picemari.zip, Picea mariana, black spruce
picepung.zip, Picea pungens, blue spruce
picerube.zip, Picea rubens, red spruce
picesitc.zip, Picea sitchensis, Sitka spruce
picrpent.zip, Picramnia pentandra , bitterbush
pincpube.zip, Pinckneya pubens, pinckneya
pinualbi.zip, Pinus albicaulis, whitebark pine
pinuaris.zip, Pinus aristata, bristlecone pine
pinuatte.zip, Pinus attenuata, knobcone pine
pinuayac.zip, Pinus ayacahuite, Mexican white pine
pinubalf.zip, Pinus balfouriana, foxtail pine
pinubank.zip, Pinus banksiana, jack pine
pinucari.zip, Pinus caribaea, Caribbean pine
pinucemb.zip, Pinus cembroides, Mexican pinyon
pinuclau.zip, Pinus clausa, sand pine
pinucont.zip, Pinus contorta, lodgepole pine
pinucoop.zip, Pinus cooperi, Cooper pine
pinucoul.zip, Pinus coulteri, Coulter pine
pinucube.zip, Pinus cubensis, Cuban pine
pinuculm.zip, Pinus culminicola, Potosi pinyon
pinudoug.zip, Pinus douglasiana, Douglas pine
pinudura.zip, Pinus durangensis, Durango pine
pinuechi.zip, Pinus echinata, shortleaf pine
pinuedul.zip, Pinus edulis, pinyon
pinuelli.zip, Pinus elliottii, slash pine
pinuenge.zip, Pinus engelmannii, Apache pine
pinuflex.zip, Pinus flexilis, limber pine
pinuglab.zip, Pinus glabra, spruce pine
pinugreg.zip, Pinus greggii, Gregg pine
pinuhart.zip, Pinus hartwegii, Hartweg pine
pinujeff.zip, Pinus jeffreyi, Jeffrey pine
pinulamb.zip, Pinus lambertiana, sugar pine
pinulaws.zip, Pinus lawsonii, Lawson pine
pinuleio.zip, Pinus leiophylla, Chihuahua pine
pinulong.zip, Pinus longaeva , Intermountain bristlecone pine
pinulumh.zip, Pinus lumholtzii, Lumholtz pine
pinumaxi.zip, Pinus maximartinezii, Mart?nez pinyon
pinumich.zip, Pinus michoacana, Michoacßn pine
pinumono.zip, Pinus monophylla, singleleaf pinyon
pinumont.zip, Pinus monticola, western white pine
pinumtez.zip, Pinus montezumae, Montezuma pine
pinumuri.zip, Pinus muricata, bishop pine
pinunels.zip, Pinus nelsonii, Nelson pinyon
pinuocci.zip, Pinus occidentalis, West Indian pine
pinuooca.zip, Pinus oocarpa, Nicaraguan pitch pine; ocote pine
pinupalu.zip, Pinus palustris, longleaf pine
pinupatu.zip, Pinus patula, Mexican weeping pine
pinupinc.zip, Pinus pinceana, Pince pinyon
pinupond.zip, Pinus ponderosa, ponderosa pine
pinuprin.zip, Pinus pringlei, Pringle pine
pinupseu.zip, Pinus pseudostrobus, False Weymouth pine
pinupung.zip, Pinus pungens, Table Mountain pine
pinuquad.zip, Pinus quadrifolia, Parry pinyon
pinuradi.zip, Pinus radiata, Monterey pine
pinuresi.zip, Pinus resinosa, red pine
pinurigi.zip, Pinus rigida, pitch pine
pinusabi.zip, Pinus sabiniana, Digger pine
pinusero.zip, Pinus serotina, pond pine
pinustrb.zip, Pinus strobus, eastern white pine
pinustro.zip, Pinus strobiformis, southwestern white pine
pinutaed.zip, Pinus taeda, loblolly pine
pinuteoc.zip, Pinus teocote, Twisted  leaves pine; Aztec pine
pinutorr.zip, Pinus torreyana, Torrey pine
pinutrop.zip, Pinus tropicalis, tropical pine
pinuvirg.zip, Pinus virginiana, Virginia pine
pinuwash.zip, Pinus washoensis, Washoe pine
piscpisc.zip, Piscidia piscipula, Florida fishpoison tree
pisorotu.zip, Pisonia rotundata, pisonia
pisttexa.zip, Pistacia texana, Texas pistache
pithflex.zip, Pithecellobium flexicaule, ebony blackbead
pithguad.zip, Pithecellobium guadalupense, Guadeloupe blackbead
pithpall.zip, Pithecellobium pallens, huajillo
pithungu.zip, Pithecellobium unguis-cati, catclaw blackbead
planaqua.zip, Planera aquatica, planertree
platocci.zip, Platanus occidentalis, American sycamore
platrace.zip, Platanus racemosa, California sycamore
platwrig.zip, Platanus wrightii, Arizona sycamore
popuangu.zip, Populus angustifolia, narrowleaf cottonwood
popuariz.zip, Populus arizonica, Arizona cottonwood
popubals.zip, Populus balsamifera, balsam poplar
popudelt.zip, Populus deltoides, eastern cottonwood
popufrem.zip, Populus fremontii, Fremont cottonwood
popugran.zip, Populus grandidentata, bigtooth aspen
popuhete.zip, Populus heterophylla, swamp cottonwood
popuhinc.zip, Populus hinckleyana, Hinckley cottonwood
poputrem.zip, Populus tremuloides, quaking aspen
poputric.zip, Populus trichocarpa, black cottonwood
prosjuli.zip, Prosopis juliflora, mesquite
prospube.zip, Prosopis pubescens, screwbean mesquite
prunalle.zip, Prunus alleghaniensis, Allegheny plum
prunamer.zip, Prunus americana, American plum
prunangu.zip, Prunus angustifolia, Chickasaw plum
pruncaro.zip, Prunus caroliniana, Carolina laurelcherry
prunemar.zip, Prunus emarginata, bitter cherry
prunfrem.zip, Prunus fremontii, desert apricot
prunhort.zip, Prunus hortulana, hortulan plum
prunilic.zip, Prunus ilicifolia, hollyleaf cherry
prunlyon.zip, Prunus lyonii, Catalina cherry
prunmexi.zip, Prunus mexicana, Mexican plum
prunmuns.zip, Prunus munsoniana, wildgoose plum
prunmyrt.zip, Prunus myrtifolia, West Indies cherry
prunnigr.zip, Prunus nigra, Canada plum
prunpens.zip, Prunus pensylvanica, pin cherry
prunsero.zip, Prunus serotina, black cherry
prunsubc.zip, Prunus subcordata, Klamath plum
prunumbe.zip, Prunus umbellata, flatwoods plum
prunvirg.zip, Prunus virginiana, common chokecherry
pseumacr.zip, Pseudotsuga macrocarpa, bigcone Douglas fir
pseumenz.zip, Pseudotsuga menziesii, Douglas fir
pseusarg.zip, Pseudophoenix sargentii, buccaneer palm
psidlong.zip, Psidium longipes, long stalk stopper
ptelcren.zip, Ptelea crenulata, California hoptree
pteltrif.zip, Ptelea trifoliata, common hoptree
queragri.zip, Quercus agrifolia, California live oak
querajoe.zip, Quercus ajoensis, Ajo oak
queralba.zip, Quercus alba, white oak
querariz.zip, Quercus arizonica, Arizona white oak
querarka.zip, Quercus arkansana, Arkansas oak
querbico.zip, Quercus bicolor, swamp white oak
querchap.zip, Quercus chapmanii, Chapman oak
querchry.zip, Quercus chrysolepis, canyon live oak
quercocc.zip, Quercus coccinea, scarlet oak
querdoug.zip, Quercus douglasii, blue oak
querdunn.zip, Quercus dunnii, Dunn oak
querdura.zip, Quercus durandii, Durand oak
querelli.zip, Quercus ellipsoidalis, northern pin oak
queremor.zip, Quercus emoryi, Emory oak
querenge.zip, Quercus engelmannii, Engelmann oak
querfalc.zip, Quercus falcata, southern red oak
quergamb.zip, Quercus gambelii, Gambel oak
quergarr.zip, Quercus garryana, Oregon white oak
quergeor.zip, Quercus georgiana, Georgia oak
querglau.zip, Quercus glaucoides, Lacey oak
quergrac.zip, Quercus graciliformis, Chisos oak
quergrav.zip, Quercus gravesii, Graves oak incl. Q. tardifolia (Muller) lateleaf oak
quergris.zip, Quercus grisea, gray oak
querhava.zip, Quercus havardii, Havard oak
querhypo.zip, Quercus hypoleucoides, silverleaf oak
querilic.zip, Quercus ilicifolia, bear oak
querimbr.zip, Quercus imbricaria, shingle oak
querinca.zip, Quercus incana, bluejack oak
querkell.zip, Quercus kelloggii, California black oak
querlaev.zip, Quercus laevis, turkey oak
querlaur.zip, Quercus laurifolia, laurel oak
querloba.zip, Quercus lobata, California white oak
querlyra.zip, Quercus lyrata, overcup oak
quermacd.zip, Quercus macdonaldii, McDonald oak
quermacr.zip, Quercus macrocarpa, bur oak
quermari.zip, Quercus marilandica, blackjack oak
quermich.zip, Quercus michauxii, swamp chestnut oak
quermohr.zip, Quercus mohriana, Mohrs oak
quermueh.zip, Quercus muehlenbergii, chinkapin oak
quermyrt.zip, Quercus myrtifolia, myrtle oak
quernigr.zip, Quercus nigra, water oak
quernutt.zip, Quercus nuttallii, Nuttall oak
queroblo.zip, Quercus oblongifolia, Mexican blue oak
querogle.zip, Quercus oglethorpensis, Oglethorpe oak
querpalu.zip, Quercus palustris, pin oak
querphel.zip, Quercus phellos, willow oak
querprin.zip, Quercus prinus, chestnut oak
querpung.zip, Quercus pungens, sandpaper oak
querrubr.zip, Quercus rubra, northern red oak
querrugo.zip, Quercus rugosa, netleaf oak
quershum.zip, Quercus shumardii, Shumard oak
querstel.zip, Quercus stellata, post oak
quertome.zip, Quercus tomentella, island live oak
quertoum.zip, Quercus toumeyi, Toumey oak
querturb.zip, Quercus turbinella, shrub live oak
quervelu.zip, Quercus velutina, black oak
quervirg.zip, Quercus virginiana, live oak
querwisl.zip, Quercus wislizeni, interior live oak
rapapunc.zip, Rapanea punctata, Florida rapanea
reynsept.zip, Reynosia septentrionalis, darling plum
rhambetu.zip, Rhamnus betulaefolia, birchleaf buckthorn
rhamcali.zip, Rhamnus californica, California buckthorn
rhamcaro.zip, Rhamnus caroliniana, Carolina buckthorn
rhamcroc.zip, Rhamnus crocea, hollyleaf buckthorn
rhampurs.zip, Rhamnus purshiana, cascara buckthorn
rhizmang.zip, Rhizophora mangle, mangrove
rhodcata.zip, Rhododendron catawbiense, Catawba rhododendron
rhodmacr.zip, Rhododendron macrophyllum, Pacific rhododendron
rhodmaxi.zip, Rhododendron maximum, rosebay rhododendron
rhuschor.zip, Rhus choriophylla, Mearns sumac
rhuscopa.zip, Rhus copallina, shining sumac
rhusglab.zip, Rhus glabra, smooth sumac
rhusinte.zip, Rhus integrifolia, lemonade sumac
rhuskear.zip, Rhus kearneyi, Kearney sumac
rhuslanc.zip, Rhus lanceolata, prairie sumac
rhuslaur.zip, Rhus laurina, laurel sumac
rhusmicr.zip, Rhus microphylla, littleleaf sumac
rhusovat.zip, Rhus ovata, sugar sumac
